계급,직렬,지역,부대,임용예정일
7급,행정,홍천,11기동사단,2022.12.12
7급,화학분석,창원,종합정비창,2022.12.12
7급,화학분석,강릉,1군지사(강릉),2022.12.12
7급,환경,춘천,교육사(춘천),2022.12.12
7급,환경,서울,육군사관학교,2022.12.12
7급,환경,양평,1군지사(양평),2022.12.12
7급,환경,이천,항공사령부,2022.12.12
7급,환경,포천,5군수지원여단,2022.12.12
7급,환경,,,2022.12.12
7급,환경,대전,탄약사,2022.12.12
7급,환경,,,2022.12.12
7급,환경,원주,미사일전략사,2022.12.12
7급,환경,화성,51사단,2022.12.12
7급,기체,양주,1군단(양주),2023.05.01
7급,기체,,,2023.05.01
7급,물리분석,,,2023.05.01
7급,인쇄,,,2023.05.01
7급,토목,,,2023.05.01
7급,토목,,,2023.05.01
7급,군수,익산,7공수특전여단,2023.09.01
7급,군수,대전,탄약지원사령부,2023.09.01
7급,군수,인제,3공병여단,2023.09.01
7급,군수,원주,화력여단,2023.09.01
7급,군수,대전,탄약지원사령부,2023.09.01
7급,기체,대구,5군수지원사령부,2023.09.01
7급,물리분석,창원,종합정비창,2023.09.01
7급,사이버,원주,지상작전사령부(원주),2023.09.01
7급,사이버,원주,지상작전사령부(원주),2023.09.01
7급,인쇄,원주,1군수지원사령부,2023.09.01
7급,전산,연천,5사단,2023.09.01
7급,토목,서울,수도방위사령부,2023.09.01
7급,토목,인제,3공병여단,2023.09.01
7급,항공기관,논산,항공학교,2023.09.01
7급,행정,계룡,육군본부 감찰실,2023.09.01
7급,행정,계룡,인사사령부,2023.09.01
7급,행정,계룡,인사사령부,2023.09.01
7급,행정,인제,3군단,2023.09.01
7급,행정,고양,1군수지원여단,2023.09.01
7급,행정,포천,6사단,2023.09.01
7급,건축,양주,72사단,2023.12.01
7급,건축,남양주,73사단,2023.12.01
7급,건축,익산,7공수여단,2023.12.01
7급,건축,고양,60사단,2023.12.01
7급,건축,증평,13특임여단,2023.12.01
7급,건축,가평,66사단,2023.12.01
7급,건축,담양,11공수여단,2023.12.01
7급,건축,남양주,75사단,2023.12.01
7급,군사정보,화성,동원전력사령부(화성),2023.12.01
7급,군사정보,대구,50사단,2023.12.01
7급,군사정보,춘천,2포병여단,2023.12.01
7급,군사정보,인제,3포병여단,2023.12.01
7급,군사정보,고양,1군수지원여단,2023.12.01
7급,군사정보,춘천,2공병여단,2023.12.01
7급,군사정보,화천,15사단,2023.12.01
7급,군사정보,춘천,2군수지원여단,2023.12.01
7급,군사정보,고양,1포병여단,2023.12.01
7급,군사정보,포천,6사단,2023.12.01
7급,군사정보,전남 광주,31사단,2023.12.01
7급,군사정보,원주,36사단,2023.12.01
7급,군사정보,양구,21사단,2023.12.01
7급,군사정보,인제,3군수지원여단,2023.12.01
7급,군사정보,대구,50사단,2023.12.01
7급,군사정보,증평,동원전력사령부(증평),2023.12.01
7급,군사정보,세종,32사단,2023.12.01
7급,군사정보,화천,7사단,2023.12.01
7급,군사정보,전남 광주,동원전력사령부(전남 광주),2023.12.01
7급,군사정보,장성,공병학교,2023.12.01
7급,군사정보,전남 광주,31사단,2023.12.01
7급,군사정보,세종,32사단,2023.12.01
7급,군사정보,인제,3공병여단,2023.12.01
7급,군사정보,창녕,39사단,2023.12.01
7급,군사정보,세종,종합보급창,2023.12.01
7급,군사정보,부산,동원전력사령부(부산),2023.12.01
7급,군수,대구,50사단,2023.12.01
7급,군수,시흥,52사단(시흥),2023.12.01
7급,군수,시흥,52사단(시흥),2023.12.01
7급,군수,용인,지상작전사령부,2023.12.01
7급,군수,대구,50사단,2023.12.01
7급,군수,대구,50사단,2023.12.01
7급,군수,동두천,28사단,2023.12.01
7급,군수,춘천,2군수지원여단,2023.12.01
7급,군수,전남 광주,31사단,2023.12.01
7급,군수,고양,56사단,2023.12.01
7급,군수,춘천,2군수지원여단,2023.12.01
7급,군수,춘천,2군수지원여단,2023.12.01
7급,군수,양주,8기동사단,2023.12.01
7급,군수,고양,1공병여단,2023.12.01
7급,군수,안동,동원전력사령부(안동),2023.12.01
7급,군수,양평,7군단(양평),2023.12.01
7급,군수,인제,3군수지원여단,2023.12.01
7급,군수,전남 광주,동원전력사령부(전남 광주),2023.12.01
7급,군수,전남 광주,동원전력사령부(전남 광주),2023.12.01
7급,군수,홍천,3군수지원여단(홍천),2023.12.01
7급,군수,전남 광주,31사단,2023.12.01
7급,군수,홍천,11기동사단,2023.12.01
7급,군수,강릉,3군수지원여단(강릉),2023.12.01
7급,군수,가평,수기사단,2023.12.01
7급,군수,전남 광주,31사단,2023.12.01
7급,군수,전남 광주,31사단,2023.12.01
7급,군수,양평,7군단(양평),2023.12.01
7급,기체,포천,지상작전사령부(포천),2023.12.01
7급,수사,화천,15사단,2023.12.01
7급,시설,인제,3군수지원여단,2023.12.01
7급,시설,화성,51사단,2023.12.01
7급,시설,파주,2기갑여단,2023.12.01
7급,시설,포천,1기갑여단,2023.12.01
7급,시설,인천,17사단,2023.12.01
7급,시설,남양주,75사단,2023.12.01
7급,시설,고양,1포병여단,2023.12.01
7급,시설,화천,15사단,2023.12.01
7급,시설,강원 고성,102기갑여단(강원 고성),2023.12.01
7급,시설,남양주,56사단(남양주),2023.12.01
7급,시설,철원,3사단,2023.12.01
7급,시설,대구,50사단,2023.12.01
7급,시설,인천,17사단,2023.12.01
7급,시설,서울,수도방위사령부,2023.12.01
7급,시설,춘천,2군수지원여단,2023.12.01
7급,시설,화성,51사단,2023.12.01
7급,시설,경기 광주,지상작전사령부(경기 광주),2023.12.01
7급,시설,세종,32사단,2023.12.01
7급,시설,인제,3군단,2023.12.01
7급,시설,옥천,37사단(옥천),2023.12.01
7급,시설,인제,12사단,2023.12.01
7급,시설,강진,31사단(강진),2023.12.01
7급,시설,무안,31사단(무안),2023.12.01
7급,시설,순천,31사단(순천),2023.12.01
7급,시설,안양,52사단(안양),2023.12.01
7급,시설,양양,102기갑여단,2023.12.01
7급,시설,화천,7사단,2023.12.01
7급,시설,대구,50사단,2023.12.01
7급,시설,영천,2작전사령부(영천),2023.12.01
7급,시설,용인,55사단,2023.12.01
7급,시설,영천,50사단(영천),2023.12.01
7급,시설,임실,35사단,2023.12.01
7급,시설,합천,39사단(합천),2023.12.01
7급,시설,세종,32사단,2023.12.01
7급,시설,영천,2작전사령부(영천),2023.12.01
7급,영양관리,장성,보병학교,2023.12.01
7급,영양관리,고양,1공병여단,2023.12.01
7급,영양관리,홍천,11기동사단,2023.12.01
7급,영양관리,고양,1군수지원여단,2023.12.01
7급,영양관리,춘천,2군수지원여단,2023.12.01
7급,영양관리,가평,수기사단,2023.12.01
7급,영양관리,횡성,지상작전사령부(횡성),2023.12.01
7급,영양관리,춘천,2군단,2023.12.01
7급,영양관리,강릉,3공병여단(강릉),2023.12.01
7급,영양관리,이천,7공병여단,2023.12.01
7급,영양관리,전남 광주,31사단,2023.12.01
7급,영양관리,철원,6사단(철원),2023.12.01
7급,영양관리,고양,1공병여단,2023.12.01
7급,의무기록,전남 광주,31사단,2023.12.01
7급,토목,포천,5공병여단,2023.12.01
7급,토목,고양,1공병여단,2023.12.01
7급,토목,서울,수도군단(서울),2023.12.01
7급,토목,이천,7공병여단,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,서울,육사교,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,대구,2작전사령부,2023.12.01
7급,행정,대구,5군수지원사령부,2023.12.01
7급,행정,연천,5사단,2023.12.01
7급,행정,평택,인사사령부(평택),2023.12.01
7급,행정,이천,7공병여단,2023.12.01
7급,행정,원주,1군수지원사령부,2023.12.01
7급,행정,홍천,11기동사단,2023.12.01
7급,행정,남양주,7포병여단,2023.12.01
7급,행정,서울,수도방위사령부,2023.12.01
7급,행정,포천,6사단,2023.12.01
7급,행정,양평,2신속사단,2023.12.01
7급,행정,인제,3포병여단,2023.12.01
7급,행정,포천,1기갑여단,2023.12.01
7급,행정,홍천,11기동사단,2023.12.01
7급,행정,서울,수도방위사령부,2023.12.01
7급,행정,장성,교육사령부(장성),2023.12.01
7급,행정,포천,5군단,2023.12.01
7급,행정,횡성,지상작전사령부(횡성),2023.12.01
7급,행정,포천,5군수지원여단,2023.12.01
7급,행정,서울,수도방위사령부,2023.12.01
7급,행정,고양,1군수지원여단,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,용인,지상작전사령부,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,고양,1군수지원여단,2023.12.01
7급,행정,남양주,7포병여단,2023.12.01
7급,행정,인제,과학화전투훈련단,2023.12.01
7급,행정,이천,7군단,2023.12.01
7급,행정,화천,15사단,2023.12.01
7급,행정,안양,수도군단,2023.12.01
7급,행정,이천,7공병여단,2023.12.01
7급,행정,포천,5포병여단,2023.12.01
7급,행정,포천,5군수지원여단,2023.12.01
7급,행정,원주,화력여단,2023.12.01
7급,행정,안양,수도군단,2023.12.01
7급,행정,인제,3공병여단,2023.12.01
7급,행정,춘천,2포병여단,2023.12.01
7급,행정,포천,5군수지원여단,2023.12.01
7급,행정,양평,2신속사단,2023.12.01
7급,행정,원주,지상작전사령부(원주),2023.12.01
7급,행정,과천,1방공여단,2023.12.01
7급,행정,인제,3군수지원여단,2023.12.01
7급,행정,파주,1사단,2023.12.01
7급,행정,인제,3포병여단,2023.12.01
7급,행정,안양,수도군단,2023.12.01
7급,행정,고양,1군수지원여단,2023.12.01
7급,행정,포천,5군단,2023.12.01
7급,행정,고양,1군수지원여단,2023.12.01
7급,행정,포천,5군단,2023.12.01
7급,행정,서울,수도방위사령부,2023.12.01
7급,행정,의정부,지상작전사령부(의정부),2023.12.01
7급,행정,양주,1포병여단(양주),2023.12.01
7급,행정,철원,3사단,2023.12.01
7급,행정,용인,지상작전사령부,2023.12.01
7급,행정,포천,5군단,2023.12.01
7급,행정,가평,수기사단,2023.12.01
7급,행정,인천,17사단,2023.12.01
7급,행정,가평,수기사단,2023.12.01
7급,행정,인천,17사단,2023.12.01
7급,행정,시흥,수도포병여단,2023.12.01
7급,행정,포천,5군수지원여단,2023.12.01
7급,행정,인제,3군수지원여단,2023.12.01
7급,행정,연천,5사단,2023.12.01
7급,행정,논산,육군훈련소,2023.12.01
7급,행정,포천,1기갑여단,2023.12.01
7급,행정,이천,정보학교,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,장성,교육사령부(장성),2023.12.01
7급,행정,장성,화생방학교,2023.12.01
7급,행정,계룡,육군본부 정책실,2023.12.01
7급,행정,남양주,7포병여단,2023.12.01
7급,행정,익산,부사관학교,2023.12.01
7급,행정,포천,6사단,2023.12.01
7급,행정,용인,지상작전사령부,2023.12.01
7급,행정,장성,기계화학교,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,동두천,28사단,2023.12.01
7급,행정,장성,보병학교,2023.12.01
7급,행정,홍천,3기갑여단,2023.12.01
7급,행정,이천,7군단,2023.12.01
7급,행정,고양,30기갑여단,2023.12.01
7급,행정,춘천,2포병여단,2023.12.01
7급,행정,장성,5군수지원사령부(장성),2023.12.01
7급,행정,대구,5군수지원사령부,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,행정,계룡,인사사령부,2023.12.01
7급,토목,,,2023.12.01
7급,토목,,,2023.12.01
7급,군수,포천,6사단,2024.03.01
7급,군수,포천,6사단,2024.03.01
7급,토목,춘천,2공병여단,2024.03.01
7급,통신,포천,5군단,2024.03.01
7급,행정,인제,12사단,2024.03.01
7급,행정,홍천,3군수지원여단(홍천),2024.03.01
7급,행정,포천,6사단,2024.03.01
7급,행정,동두천,28사단,2024.03.01
7급,행정,철원,3사단,2024.03.01
7급,행정,연천,5사단,2024.03.01
7급,토목,,,2024.03.01
7급,군수,포천,6사단,2024.03.01
7급,군수,포천,6사단,2024.03.01
7급,토목,춘천,2공병여단,2024.03.01
7급,통신,포천,5군단,2024.03.01
7급,행정,인제,12사단,2024.03.01
7급,행정,홍천,3군수지원여단(홍천),2024.03.01
7급,행정,포천,6사단,2024.03.01
7급,행정,동두천,28사단,2024.03.01
7급,행정,철원,3사단,2024.03.01
7급,행정,연천,5사단,2024.03.01
7급,토목,,,2024.03.01
7급,토목,포천,5공병여단,2024.05.01
7급,군수,포천,5군수지원여단,2024.08.01
7급,군수,양평,7군수지원단,2024.08.01
7급,군수,인제,3군수지원여단,2024.08.01
7급,군수,인제,3군수지원여단,2024.08.01
7급,전자,음성,미사일사령부,2024.08.01
7급,행정,인제,103정보통신단,2024.08.01
7급,행정,포천,5군단,2024.08.01
7급,행정,계룡,인사사령부,2024.08.01
7급,행정,춘천,교육사령부,2024.08.01
7급,행정,서울,인사사령부,2024.08.01
7급,군수,포천,5공병여단,2025.05.01
7급,수사,광주,육군검찰단,2025.08.01
7급,수사,양구,육군검찰단,2025.08.01
7급,전산,화천,7사단,2025.08.01
7급,전차,인제,12사단,2025.08.01
7급,행정,인제,3포병여단,2025.08.01
7급,행정,양주,8기동사단,2025.11.01
7급,행정,가평,수기사단,2025.12.01
7급,행정,연천,5사단,2026.04.01
7급,행정,양주,8기동사단,2026.04.01
7급,행정,양구,21사단,2026.04.01
7급,행정,포천,5공병여단,2026.04.01
7급,행정,춘천,2공병여단,2026.04.01
7급,행정,인제,3공병여단,2026.04.01
7급,행정,포천,5군지여단,2026.04.01
7급,행정,철원,3사단,2026.04.01
7급,행정,포천,5공병여단,2026.04.01
7급,행정,가평,수기사단,2026.04.01
7급,군수,고양,1군단,2026.04.01
7급,군수,인제,3군단,2026.04.01
7급,통신,포천,5군단,2026.04.01
7급,행정,포천,5군단,2026.04.01
7급,행정,포천,5군단,2026.04.01
7급,행정,인제,3군단,2026.04.01
7급,행정,가평,66사단,2026.04.01
7급,건축,대구,2작전사,2026.04.01
7급,군사정보,인제,12사단,2026.04.01
7급,군사정보,인제,12사단,2026.04.01
7급,군수,홍천,11기동사단,2026.04.01
7급,기체,포천,15항공단,2026.04.01
7급,기체,춘천,12항공단,2026.04.01
7급,사이버,계룡,사이버작전센터,2026.04.01
7급,영양관리,대구,50사단,2026.04.01
7급,전산,대전,군수사,2026.04.01
7급,전산,대전,군수사,2026.04.01
7급,전산,이천,정보학교,2026.04.01
7급,차량,양평,7군수지원단,2026.04.01
7급,총포,춘천,2공병여단,2026.04.01
7급,토목,대구,2작전사,2026.04.01
7급,행정,인제,12사단,2026.04.01
7급,행정,인제,12사단,2026.04.01
7급,건축,담양,11공수여단,2026.04.01
7급,건축,고양,60사단,2026.04.01
7급,건축,계룡,군수사,2026.04.01
7급,건축,원주,미사일사,2026.04.01
7급,군수,인제,12사단,2026.04.01
7급,물리분석,대전,탄약사,2026.04.01
7급,수사,연천,5사단,2026.04.01
7급,의무기록,부산,53사단,2026.04.01
7급,의무기록,임실,35사단,2026.04.01
7급,전기,양구,21사단,2026.04.01
7급,전차,포천,5군지여단,2026.04.01
7급,토목,인제,3공병여단,2026.04.01
7급,토목,춘천,2공병여단,2026.04.01
7급,항공기관,인제,3군단,2026.04.01
7급,항공기관,춘천,2군단,2026.04.01
7급,행정,포천,5공병여단,2026. 05. 01
7급,행정,원주,1군지사,2026. 05. 01
7급,행정,양양,102기갑여단,2026. 05. 01
7급,물리분석,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,항공기관,,,2026. 05. 01
7급,항공기관,,,2026. 05. 01
7급,일반기계,증평,37사단,2026. 05. 01
7급,항공기관,논산,항공학교,2026. 05. 01
7급,항공기관,논산,항공학교,2026. 05. 01
7급,물리분석,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,일반기계,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
7급,전차,,,2026. 05. 01
